Created with UCDetector 2.0.0	2022-10-17 11:09:27	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
Location	Description	Java	Marker	Author
components.CircuitElm.getVoltageRange(CircuitElm.java:43)	Method "CircuitElm.getVoltageRange()" has 0 references	CircuitElm.getVoltageRange()	org.ucdetector.analyzeMarkerReference	
components.CircuitElm.setVoltageRange(CircuitElm.java:47)	Method "CircuitElm.setVoltageRange(double)" has 0 references	CircuitElm.setVoltageRange(double)	org.ucdetector.analyzeMarkerReference	
components.CircuitElm.initClass(CircuitElm.java:63)	Method "CircuitElm.initClass(CirSim)" has 0 references	CircuitElm.initClass(CirSim)	org.ucdetector.analyzeMarkerReference	
components.CircuitElm.initBoundingBox(CircuitElm.java:96)	Change visibility of Method "CircuitElm.initBoundingBox()" to private	CircuitElm.initBoundingBox()	org.ucdetector.analyzeMarkerVisibilityPrivate	
components.CircuitElm.delete(CircuitElm.java:130)	Method "CircuitElm.delete()" has 0 references	CircuitElm.delete()	org.ucdetector.analyzeMarkerReference	
components.CircuitElm.getPostVoltage(CircuitElm.java:136)	Method "CircuitElm.getPostVoltage(int)" has 0 references	CircuitElm.getPostVoltage(int)	org.ucdetector.analyzeMarkerReference	
components.CircuitElm.move(CircuitElm.java:293)	Method "CircuitElm.move(int,int)" has 0 references	CircuitElm.move(int,int)	org.ucdetector.analyzeMarkerReference	
components.CircuitElm.allowMove(CircuitElm.java:304)	Method "CircuitElm.allowMove(int,int)" has 0 references	CircuitElm.allowMove(int,int)	org.ucdetector.analyzeMarkerReference	
components.CircuitElm.movePoint(CircuitElm.java:320)	Method "CircuitElm.movePoint(int,int,int)" has 0 references	CircuitElm.movePoint(int,int,int)	org.ucdetector.analyzeMarkerReference	
components.CircuitElm.getVoltageSource(CircuitElm.java:356)	Method "CircuitElm.getVoltageSource()" has 0 references	CircuitElm.getVoltageSource()	org.ucdetector.analyzeMarkerReference	
components.CircuitElm.adjustBbox(CircuitElm.java:421)	Change visibility of Method "CircuitElm.adjustBbox(int,int,int,int)" to private	CircuitElm.adjustBbox(int,int,int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
components.CircuitElm.adjustBbox(CircuitElm.java:439)	Method "CircuitElm.adjustBbox(Point,Point)" has 0 references	CircuitElm.adjustBbox(Point,Point)	org.ucdetector.analyzeMarkerReference	
components.CircuitElm.getVoltageText(CircuitElm.java:451)	Change visibility of Method "CircuitElm.getVoltageText(double)" to default	CircuitElm.getVoltageText(double)	org.ucdetector.analyzeMarkerVisibilityDefault	
components.CircuitElm.getUnitText(CircuitElm.java:455)	Change visibility of Method "CircuitElm.getUnitText(double,String)" to default	CircuitElm.getUnitText(double,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
components.CircuitElm.getShortUnitText(CircuitElm.java:476)	Method "CircuitElm.getShortUnitText(double,String)" has 0 references	CircuitElm.getShortUnitText(double,String)	org.ucdetector.analyzeMarkerReference	
components.CircuitElm.getCurrentText(CircuitElm.java:497)	Change visibility of Method "CircuitElm.getCurrentText(double)" to default	CircuitElm.getCurrentText(double)	org.ucdetector.analyzeMarkerVisibilityDefault	
components.CircuitElm.doAdjust(CircuitElm.java:505)	Method "CircuitElm.doAdjust()" has 0 references	CircuitElm.doAdjust()	org.ucdetector.analyzeMarkerReference	
components.CircuitElm.setupAdjust(CircuitElm.java:508)	Method "CircuitElm.setupAdjust()" has 0 references	CircuitElm.setupAdjust()	org.ucdetector.analyzeMarkerReference	
components.CircuitElm.needsHighlight(CircuitElm.java:555)	Method "CircuitElm.needsHighlight()" has 0 references	CircuitElm.needsHighlight()	org.ucdetector.analyzeMarkerReference	
components.CircuitElm.selectRect(CircuitElm.java:567)	Method "CircuitElm.selectRect(Rectangle)" has 0 references	CircuitElm.selectRect(Rectangle)	org.ucdetector.analyzeMarkerReference	
components.CircuitElm.needsShortcut(CircuitElm.java:597)	Method "CircuitElm.needsShortcut()" has 0 references	CircuitElm.needsShortcut()	org.ucdetector.analyzeMarkerReference	
components.CircuitElm.isGraphicElmt(CircuitElm.java:605)	Method "CircuitElm.isGraphicElmt()" has 0 references	CircuitElm.isGraphicElmt()	org.ucdetector.analyzeMarkerReference	
components.CircuitElm.setX2(CircuitElm.java:621)	Change visibility of Method "CircuitElm.setX2(int)" to default	CircuitElm.setX2(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
components.CircuitElm.setY2(CircuitElm.java:643)	Change visibility of Method "CircuitElm.setY2(int)" to default	CircuitElm.setY2(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
