Created with UCDetector 2.0.0	2022-10-17 10:23:11	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
Location	Description	Java	Marker	Author
simulator.CirSim.MODE_SELECT(CirSim.java:39)	Change visibility of Constant "CirSim.MODE_SELECT" to private	CirSim.MODE_SELECT	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.infoWidth(CirSim.java:40)	Constant "CirSim.infoWidth" has 0 references	CirSim.infoWidth	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.gridMask(CirSim.java:43)	Change visibility of Field "CirSim.gridMask" to private	CirSim.gridMask	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.gridRound(CirSim.java:45)	Change visibility of Field "CirSim.gridRound" to private	CirSim.gridRound	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.dragging(CirSim.java:46)	Field "CirSim.dragging" has 0 references	CirSim.dragging	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.dumpMatrix(CirSim.java:48)	Field "CirSim.dumpMatrix" has 0 references	CirSim.dumpMatrix	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.isMac(CirSim.java:50)	Field "CirSim.isMac" has 0 references	CirSim.isMac	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.ctrlMetaKey(CirSim.java:51)	Field "CirSim.ctrlMetaKey" has 0 references	CirSim.ctrlMetaKey	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.menuScope(CirSim.java:54)	Field "CirSim.menuScope" has 0 references	CirSim.menuScope	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.hintType(CirSim.java:55)	Field "CirSim.hintType" has 0 references	CirSim.hintType	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.hintItem1(CirSim.java:55)	Field "CirSim.hintItem1" has 0 references	CirSim.hintItem1	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.hintItem2(CirSim.java:55)	Field "CirSim.hintItem2" has 0 references	CirSim.hintItem2	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.stopMessage(CirSim.java:56)	Change visibility of Field "CirSim.stopMessage" to private	CirSim.stopMessage	org.ucdetector.analyzeMarkerVisibilityPrivate	
