Created with UCDetector 2.0.0	2022-10-14 18:06:46	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
Location	Description	Java	Marker	Author
simulator.CirSim.mouseModeStr(CirSim.java:36)	Field "CirSim.mouseModeStr" has 0 references	CirSim.mouseModeStr	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.pi(CirSim.java:37)	Constant "CirSim.pi" has 0 references	CirSim.pi	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.MODE_ADD_ELM(CirSim.java:38)	Constant "CirSim.MODE_ADD_ELM" has 0 references	CirSim.MODE_ADD_ELM	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.MODE_DRAG_ALL(CirSim.java:39)	Constant "CirSim.MODE_DRAG_ALL" has 0 references	CirSim.MODE_DRAG_ALL	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.MODE_DRAG_SELECTED(CirSim.java:42)	Constant "CirSim.MODE_DRAG_SELECTED" has 0 references	CirSim.MODE_DRAG_SELECTED	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.MODE_DRAG_POST(CirSim.java:43)	Constant "CirSim.MODE_DRAG_POST" has 0 references	CirSim.MODE_DRAG_POST	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.MODE_SELECT(CirSim.java:44)	Change visibility of Constant "CirSim.MODE_SELECT" to private	CirSim.MODE_SELECT	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.infoWidth(CirSim.java:45)	Constant "CirSim.infoWidth" has 0 references	CirSim.infoWidth	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.dragX(CirSim.java:46)	Field "CirSim.dragX" has 0 references	CirSim.dragX	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.dragY(CirSim.java:46)	Field "CirSim.dragY" has 0 references	CirSim.dragY	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.initDragX(CirSim.java:46)	Field "CirSim.initDragX" has 0 references	CirSim.initDragX	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.initDragY(CirSim.java:46)	Field "CirSim.initDragY" has 0 references	CirSim.initDragY	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.selectedSource(CirSim.java:47)	Field "CirSim.selectedSource" has 0 references	CirSim.selectedSource	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.gridMask(CirSim.java:50)	Change visibility of Field "CirSim.gridMask" to private	CirSim.gridMask	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.gridRound(CirSim.java:52)	Change visibility of Field "CirSim.gridRound" to private	CirSim.gridRound	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.dragging(CirSim.java:53)	Field "CirSim.dragging" has 0 references	CirSim.dragging	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.dumpMatrix(CirSim.java:55)	Field "CirSim.dumpMatrix" has 0 references	CirSim.dumpMatrix	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.isMac(CirSim.java:57)	Field "CirSim.isMac" has 0 references	CirSim.isMac	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.ctrlMetaKey(CirSim.java:58)	Field "CirSim.ctrlMetaKey" has 0 references	CirSim.ctrlMetaKey	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.pause(CirSim.java:60)	Field "CirSim.pause" has 0 references	CirSim.pause	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.menuScope(CirSim.java:62)	Field "CirSim.menuScope" has 0 references	CirSim.menuScope	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.hintType(CirSim.java:63)	Field "CirSim.hintType" has 0 references	CirSim.hintType	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.hintItem1(CirSim.java:63)	Field "CirSim.hintItem1" has 0 references	CirSim.hintItem1	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.hintItem2(CirSim.java:63)	Field "CirSim.hintItem2" has 0 references	CirSim.hintItem2	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.stopMessage(CirSim.java:64)	Change visibility of Field "CirSim.stopMessage" to private	CirSim.stopMessage	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.HINT_LC(CirSim.java:66)	Constant "CirSim.HINT_LC" has 0 references	CirSim.HINT_LC	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.HINT_RC(CirSim.java:67)	Constant "CirSim.HINT_RC" has 0 references	CirSim.HINT_RC	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.HINT_3DB_C(CirSim.java:68)	Constant "CirSim.HINT_3DB_C" has 0 references	CirSim.HINT_3DB_C	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.HINT_TWINT(CirSim.java:69)	Constant "CirSim.HINT_TWINT" has 0 references	CirSim.HINT_TWINT	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.HINT_3DB_L(CirSim.java:70)	Constant "CirSim.HINT_3DB_L" has 0 references	CirSim.HINT_3DB_L	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.menuElm(CirSim.java:78)	Change visibility of Field "CirSim.menuElm" to private	CirSim.menuElm	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.stopElm(CirSim.java:82)	Change visibility of Field "CirSim.stopElm" to private	CirSim.stopElm	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.stopElm(CirSim.java:82)	Field "CirSim.stopElm" is never read	CirSim.stopElm	org.ucdetector.analyzeMarkerReference	
